APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
317910,Depth Hunter 2: Deep Dive Demo,1,2,31
350150,Scraps: Modular Vehicle Combat,1,1,31
398630,Twisted Lands Trilogy Collector's Edition,1,4,31
407780,Lethe - Episode One,1,3,31
452860,Mad Bullets,1,2,31
457860,Apollo 11 VR,1,5,31
462990,Tomoyo After ~It's a Wonderful Life~ English Edition,1,4,31
497470,D.N.Age,1,1,31
504800,Sorcery! Part 4,1,1,31
552130,Whiplash - Crash Valley,1,4,31
553880,Archangel?: Hellfire,1,7,31
596890,Life of a Mobster,1,3,31
628800,Super Hydorah,1,3,31
705370,The Cursed Tower,1,2,31
761790,Parker & Lane,1,4,31
771950,?SUMETRICK?,1,14,31
981070,Tales of the Neon Sea Demo,1,2,31
11440,DiRT,1,3,30
205060,BIT.TRIP CORE,1,1,30
443860,Riptide GP: Renegade,1,4,30
452970,Asemblance,1,1,30
547390,Mosaic: Game of Gods,1,3,30
554750,Axis Football 2017,1,4,30
621080,Persian Nights: Sands of Wonders,1,6,30
632020,Necromancer Returns,1,4,30
645830,Son Korsan,1,2,30
656450,Alien Hallway 2,1,3,30
684300,BLADENET,1,4,30
704380,Achievement Hunter: Urban 2,1,1,30
704840,The Walking Vegetables,1,2,30
785030,Little Adventurer III,1,1,30
789540,The Adventures of Nick & Willikins,1,2,30
898350,SNIPER TANKS,1,1,30
907380,The Ballad Singer,1,2,30
946610,Pocket Rogues,1,6,30
223280,Cut the Rope,1,1,29
257220,Secret Files: Sam Peters,1,4,29
295500,Smugglers 5 Demo,1,1,29
302440,Roadside Assistance Simulator,1,2,29
312010,Bird Assassin,1,2,29
315600,Ford Racing 3,1,5,29
339910,Uncraft World,1,3,29
373630,Game Type,1,1,29
389850,Legacy of Dorn: Herald of Oblivion,1,3,29
416360,Max's Big Bust - A Captain Nekorai Tale,1,2,29
489930,Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement,1,2,29
532290,Dark Train,1,3,29
543390,Aeon,1,4,29
545200,Super Blackjack Battle 2 Turbo Edition - The Card Warriors,1,1,29
645820,Odysseus Kosmos and his Robot Quest: Adventure Game,1,6,29
669630,Hollowed,1,2,29
687980,Mothlight,1,3,29
719750,PUSS!,1,4,29
781600,Abstractism,1,2,29
812550,The King's Bird,1,4,29
824170,Relic Raiders,1,4,29
847890,YYNote,1,4,29
931220,Beat,1,2,29
971460,FPS Training,1,3,29
1002360,BUGDAS,1,8,29
3200,Painkiller: Gold Edition,1,1,28
6330,Age of Conan: Hyborian Adventures,1,1,28
8030,Tomb Raider: Anniversary Demo,1,3,28
11370,Nikopol: Secrets of the Immortals,1,2,28
97120,Kohan: Ahriman's Gift,1,9,28
229950,Resident Evil 6 Benchmark Tool,1,7,28
244950,Where is my Heart?,1,1,28
246260,openCanvas 5.5,1,2,28
260690,Dark Fall 1: The Journal,1,2,28
277270,Return to Mysterious Island 2,1,4,28
291250,Jumpdrive,1,1,28
296530,Coldfire Keep,1,1,28
303550,Adventures of Pip,1,2,28
311060,Battle Mages: Sign of Darkness,1,3,28
336940,Basingstoke,1,4,28
338830,Star Nomad,1,1,28
521880,RPG Maker VX,1,6,28
552970,Sumoman,1,3,28
574140,Project LUX,1,5,28
584170,Freedom Locomotion VR,1,4,28
657010,Lucky Night: Texas Hold'em VR,1,1,28
714260,Achievement Hunter: Thief,1,1,28
717310,Aggelos,1,3,28
736430,Clicker bAdventure,1,2,28
753110,Chronicles of Vinland,1,5,28
794180,Pro Fishing Simulator,1,5,28
942850,I Walk Among Zombies Vol. 1,1,3,28
952120,Three Kingdoms 2018 ?????2018 ???? ??,1,9,28
4520,Full Spectrum Warrior,1,5,27
276440,Kingdom Tales,1,2,27
331910,Beach Resort Simulator,1,2,27
372260,Weird Park Trilogy,1,6,27
393730,MegaSphere Demo,1,1,27
439800,Clouds & Sheep 2,1,4,27
461750,Ghoul Kid,1,1,27
518670,Intensive Exposure,1,2,27
593240,VR SUPER SPORTS,1,8,27
633440,Unit 4,1,3,27
637060,Tiny Tales: Heart of the Forest,1,3,27
719720,League of Pirates,1,2,27
741430,Titanic VR,1,6,27
745000,Card Crawl,1,6,27
757180,Wolf & Rabbit,1,2,27
765210,Your Royal Gayness,1,1,27
796910,Please Love My Computer Game,1,2,27
23100,Buccaneer: The Pursuit of Infamy,1,1,26
31240,Sam & Max 303: They Stole Max's Brain!,1,3,26
60800,Numen: Contest of Heroes,1,1,26
252090,Lacuna Passage,1,2,26
315440,TRON: Evolution,1,6,26
327950,Sword of the Samurai,1,3,26
356260,Stalingrad,1,14,26
359340,Pixel Puzzles Mosaics,1,4,26
362750,Marmoset Toolbag 2,1,1,26
400470,The Seven Years War (1756-1763),1,6,26
435360,Campus Notes - forget me not.,1,1,26
470060,1917 - The Alien Invasion DX,1,1,26
496350,Supipara - Chapter 1 Spring Has Come!,1,2,26
517320,GunGirl 2,1,2,26
