NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
Nuclear Throne,6,47,229
S.T.A.L.K.E.R.: Shadow of Chernobyl,0,4,227
Call to Arms,0,1,226
GORN,0,201,225
L.A. Noire,28,159,223
F1 2017,0,4,223
GRID 2,55,55,222
Danganronpa V3: Killing Harmony,10,34,222
Keep Talking and Nobody Explodes,97,205,221
Mutant Year Zero: Road to Eden,29,135,221
"Warhammer 40,000: Dawn of War II",0,12,221
Vapour,0,1,219
Epic Battle Fantasy 5,0,9,219
Kingdom: New Lands,0,1,219
Bit Heroes,0,6,218
Grand Theft Auto: Vice City,0,4,217
Midas Gold Plus,0,1,217
Danganronpa: Trigger Happy Havoc,41,81,215
Trainz: A New Era,0,2,215
Call of Duty 4: Modern Warfare,0,16,214
Shadow Warrior 2,0,28,214
Professional Fishing,0,6,214
Transport Defender,0,2,213
Hand Simulator,3,76,212
Colony Survival,0,"3,180",212
Dead Maze,0,2,211
Hearts of Iron III,1,6,210
Ultra Street Fighter IV,5,143,209
SAS: Zombie Assault 4,0,1,209
The Universim,3,17,208
Mighty Party,0,4,208
Thea 2: The Shattering,0,43,208
Outlast,151,522,207
LET IT DIE,37,79,207
"Warhammer 40,000: Space Marine",0,8,207
Beholder,0,"5,445",206
Skyforge,13,27,204
War of Rights,0,19,204
Wizard101,93,154,203
RAGE,0,1,203
Startup Company,0,1,203
Half-Life 2: Deathmatch,0,4,202
Sid Meier's Civilization IV: Warlords,0,1,202
The Evil Within 2,36,138,200
Spacelords,12,33,199
Move or Die,8,243,198
Boundless,4,26,198
Sniper Elite V2,0,8,197
100% Orange Juice,10,29,196
Battle for Wesnoth,0,2,196
"Warhammer 40,000: Dawn of War III",10,13,195
Champions Online,0,7,195
Vampyr,244,244,193
TERA,191,229,193
Call of Duty: Black Ops II,50,588,193
Orcs Must Die! 2,0,2,193
The Evil Within,59,111,192
IL-2 Sturmovik: Battle of Stalingrad,0,7,192
Iron Sky Invasion,6,8,191
Rivals of Aether,5,272,191
World War 3,29,988,190
SimAirport,0,5,189
DRAGON BALL XENOVERSE,2,9,188
GUILTY GEAR Xrd -REVELATOR-,0,22,188
Shroud of the Avatar: Forsaken Virtues,43,74,187
Survived By,32,33,187
EverQuest II,11,33,187
Dead Frontier 2,5,17,187
Verdun,0,75,187
SimplePlanes,0,2,187
Kingdom Rush Origins,0,3,186
Totally Accurate Battlegrounds,4,18,185
NARUTO TO BORUTO: SHINOBI STRIKER,26,118,184
Stream Avatars,0,7,184
Max Payne 3,1,157,183
Battlefleet Gothic: Armada,0,4,183
Arizona Sunshine,1,143,182
Gothic 3,3,39,181
Niche - a genetics survival game,0,4,181
Train Sim World??,0,10,181
POSTAL 2,15,46,180
Call of Duty 2,5,31,179
Rising World,0,4,179
Tower of Time,16,23,178
Thea: The Awakening,0,13,178
Shadowrun: Dragonfall - Director's Cut,1,5,177
X3: Albion Prelude,0,2,177
Car Mechanic Simulator 2015,0,3,177
The Jackbox Party Pack 5,546,781,176
Dragon Age: Origins,27,355,176
Prominence Poker,1,91,176
Hero Siege,10,13,174
Lost Castle,18,18,173
Zombie Army Trilogy,9,28,173
Garden Paws,10,73,171
Day of Defeat,0,19,171
One Hour One Life,19,100,169
Praey for the Gods,13,"3,138",169
Clone Drone in the Danger Zone,31,33,168
Rogue Legacy,0,9,168
Liftoff,0,2,167
Ultimate Epic Battle Simulator,0,12,167
Pixel Worlds,0,6,167
Fallout 2,3,10,166
Sudden Strike 4,1,1,166
Prismata,53,53,165
Darksiders III,16,240,165
Worms Armageddon,0,19,165
The Jackbox Party Pack 2,23,178,164
Half-Life 2: Episode Two,0,11,164
Football Manager 2011,0,4,164
Alien Swarm: Reactive Drop,0,5,164
Youtubers Life,3,17,163
Toribash,0,7,163
Wolfenstein: The Old Blood,5,70,162
Thief,4,34,162
RIDE 3,2,9,162
Shadowrun Returns,0,4,162
Breach,35,211,161
X-Blades,0,1,161
Sid Meier's Civilization IV: Beyond the Sword,0,2,161
Darkest Hour: A Hearts of Iron Game,0,9,161
Terraforming Mars,0,5,161
Hotline Miami,17,335,160
Fear the Night,1,10,160
The Jackbox Party Pack 4,197,325,159
Tales of Maj'Eyal,0,10,159
Cold Waters,0,566,159
F1 2015,0,4,158
Worms W.M.D,0,306,158
PIPE,0,4,158
The Lab,0,1,157
Freeman: Guerrilla Warfare,0,6,157
Sally Face,16,59,156
Moonlighter,7,18,156
Automobilista,0,661,156
GUNS UP!,0,4,156
Paint the Town Red,0,2,155
scram,0,19,154
Goat Simulator,1,112,153
Defiance,0,2,153
"Warhammer 40,000: Mechanicus",0,4,153
Fallout,0,17,152
CarX Drift Racing Online,0,7,151
Bayonetta,20,44,150
Assetto Corsa Competizione,3,10,149
Strategic Command WWII: World at War,0,86,149
Monster Prom,4,101,148
Crypt of the NecroDancer,0,"1,024",148
Mirror,0,46,148
Dungreed,0,17,148
Super Animal Royale,135,491,147
Streets of Rogue,0,85,147
Kritika Online,0,14,146
Sonic Mania,2,970,145
Skullgirls,21,30,144
S.T.A.L.K.E.R.: Clear Sky,0,28,144
The Walking Dead,0,6,144
Time Warpers,0,5,144
The Witness,41,134,143
INSIDE,34,"3,535",143
Sid Meier's Pirates!,0,5,143
Geneshift,0,4,143
Warspear Online,0,3,143
Poly Bridge,0,19,143
Will To Live Online,0,2,143
Grand Theft Auto: Episodes from Liberty City,41,48,142
NBA 2K16,0,4,142
Flashing Lights,22,56,140
Phantom Doctrine,15,19,140
Half-Life 2: Episode One,0,10,140
Rebel Galaxy,0,6,140
Supreme Ruler Ultimate,0,1,140
Xenonauts,1,8,139
Worbital,0,27,139
Conflict of Nations: World War 3,0,2,139
GRIS,156,281,138
Staxel,0,19,138
Dead Space,226,"1,958",137
Hellblade: Senua's Sacrifice,42,340,136
We Were Here,5,55,136
Ghost of a Tale,2,210,136
Need for Speed: Hot Pursuit,0,13,136
Metro: Last Light,140,"4,837",135
Fable Anniversary,18,873,135
Power & Revolution,5,20,135
Tales of Zestiria,3,22,135
Sniper Fury,0,1,135
X3: Terran Conflict,0,3,134
Football Manager 2009,0,1,134
War for the Overworld,0,1,134
Icewind Dale: Enhanced Edition,0,1,134
Sundered,0,31,134
The Jackbox Party Pack,137,384,133
Magicka,0,200,133
Sakura Clicker,0,4,133
Sonic & All-Stars Racing Transformed Collection,4,27,132
The Legend of Heroes: Trails of Cold Steel,3,66,132
Rogue Empire,0,12,132
Amnesia: The Dark Descent,39,90,131
Cry of Fear,17,51,130
Stationeers,3,53,130
Mini Metro,0,7,130
Fishing: Barents Sea,0,3,130
Dead Island,38,660,129
Atlas Reactor,0,11,129
Night in the Woods,0,162,129
"Gremlins, Inc.",0,14,128
Pro Evolution Soccer 2016,2,13,127
Robothorium,0,52,127
Booty Calls,0,1,126
Hello Neighbor,16,30,125
Revelation Online,4,30,125
Worms Revolution,0,161,125
Pixel Puzzles Ultimate,0,9,125
Regions Of Ruin,0,13,125
The Crew,0,86,124
Ylands,0,13,124
Reassembly,0,1,124
Zero-K,0,15,124
Project Highrise,0,8,124
Dead Space 2,17,200,123
Serious Sam 3: BFE,0,3,123
Turmoil,0,15,123
Tricky Towers,525,"5,279",122
Aaero,23,23,122
Production Line,0,4,122
Mini World: Block Art,0,46,122
Caves of Qud,11,11,121
The Escapists,0,2,121
Dig or Die,0,4,121
City Car Driving,0,16,121
Freddy Fazbear's Pizzeria Simulator,0,1,121
DUSK,193,325,120
RUINER,57,81,120
Armored Warfare,13,91,120
Salt and Sanctuary,7,989,120
King's Bounty: Dark Side,6,7,120
Just Shapes & Beats,5,32,120
Men of War: Assault Squad,0,1,120
Star Traders: Frontiers,0,1,120
Pro Cycling Manager 2017,0,3,120
Animation Throwdown: The Quest for Cards,0,5,120
Jack Nicklaus Perfect Golf,0,1,118
sZone-Online,0,1,117
Faeria,0,18,117
Out of the Park Baseball 18,0,1,117
Ancestors Legacy,0,18,117
Sunset Overdrive,0,10,117
LIMBO,4,39,116
Trine 2,0,8,116
Super Meat Boy,0,8,116
Winning Post 8 2017,0,1,116
Cliff Empire,0,1,116
Fire Pro Wrestling World,15,40,115
